name,account,token_mint_A,token_account_A,token_mint_B,token_account_B
SOL/USDC[aquafarm],EGZ7tiLeH62TPV1gL8WwbXGzEPa9zmcpVnnkPKKnrE2U,So11111111111111111111111111111111111111112,ANP74VNsHwSrq9uUSjiSNyNWvf6ZPrKTmE4gHoNd13Lg,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,75HgnSvXbWKZBpZHveX68ZzAhDqMzNDS29X6BGLtxMo1
SOL/USDT[aquafarm],Dqk7mHQBx2ZWExmyrR2S8X6UG75CrbbpK2FSBZsNYsw6,So11111111111111111111111111111111111111112,DTb8NKsfhEJGY1TrA7RXN6MBiTrjnkdMAfjPEjtmTT3M,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,E8erPjPEorykpPjFV9yUYMYigEWKQUxuGfL2rJKLJ3KU
ETH/SOL[aquafarm],EuK3xDa4rWuHeMQCBsHf1ETZNiEQb5C476oE9u9kp8Ji,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,7F2cLdio3i6CCJaypj9VfNDPW2DwT3vkDmZJDEfmxu6A,So11111111111111111111111111111111111111112,5pUTGvN2AA2BEzBDU4CNDh3LHER15WS6J8oJf5XeZFD8
ETH/USDC[aquafarm],FgZut2qVQEyPBibaTJbbX2PxaMZvT1vjDebiVaDp5BWP,2FPyTwcZLUg1MDrwsyoP4D6s1tM7hAkHYRjkNb5w6Pxk,H9h5yTBfCHcb4eRP87fXczzXgNaMzKihr7bf1sjw7iuZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,JA98RXv2VdxQD8pRQq4dzJ1Bp4nH8nokCGmxvPWKJ3hx
RAY/SOL[aquafarm],3THMPkPmcHJ54JtHRyazhs7UN7HbV5KiNJVLJs6hSPSC,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,GZaUNWf4ov6VZaD5MqZtc5pHB3mWTqczNUB4sstt8CSR,So11111111111111111111111111111111111111112,GNSZ1rr57QQ6qLcmZnhMcoBymenVezhNpzcFSfJP37h9
ROPE/SOL[aquafarm],DCENobjFZK59nLeMCVRkQtnkAWrJkWAVpmVnwVNc8gqH,8PMHT4swUMtBzgHnh5U564N5sjPSiUz2cjEQzFnnP1Fo,HLHPVwgzYjTHmu1fmV9eZzdE8H3fZwhuCBRNNN2Z5miA,So11111111111111111111111111111111111111112,7Be3aStQmKgeXC1xqfJnA8qaGzw6keQTLqHYAJprZK2H
STEP/SOL[aquafarm],2sNtf8wLZMR7XJm2pzvvVUNPTNRFsGTiC5vgDSGv5QGD,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,35opuEpVvggzfV361hQVNXiC7KAKS1HCeDoVpfVybo8k,So11111111111111111111111111111111111111112,A3DSsYZJWHiwXSQb7P2AbEoaWhpauJLU1PVdTPnzV5s9
SRM/SOL[aquafarm],EJRXAkKyDhDgzdZz1Ss5CpWKWSK9xTR5S6GDLAer8mdh,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,2JCxZv6LaFjtWqBXSC2brsWE9WryS4Cp3VwwDeNGvLyv,So11111111111111111111111111111111111111112,EdhG3vQbTVVAARZB4AbhU2HsVbvfFqX2yhBAfFV22nzA
FTT/SOL[aquafarm],68Bg6yQxWm3mrUYk3XzMiF5ycE41HwPhyEdaB1cp6wuo,AGFEad2et2ZJif9jaGpdMixQqvW5i81aBdvKe7PHNfz3,3eVE92aEAsLYcBACXNu1yxoHVfTM8e8vmQC2zSApGRJX,So11111111111111111111111111111111111111112,BbsiNbFfJsRDwqF4JaiJ6sKecNuY4eWmEaDHcY6h6HuD
COPE/SOL[aquafarm],BRx4dJecxzeGYc1BskCWonfGCeMyv9G7tk66cf2QGhK6,8HGyAAB1yoM1ttS7pXjHMa3dukTFGQggnFFH3hJZgzQh,7v5GCdHH439SztxcqL4wpfWdPvv9EfMm8GYTHSUQoGoY,So11111111111111111111111111111111111111112,5tSgRUK6f2x1nAXA4gdcHNXiWdToqni9pr5xvq2Fq82u
