indexw,user,token,amount
0,FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.72e-07
1,FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,93.586438
2,FAmj2w5vdnyZYzdd6go4XANVWrb2GoMiuxEXixCNjEqf,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,2.43e-07
3,JB8JCw3xCfmjzeV6pWRU59qWMMLKKnDkVXpBcbwvTeSa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.162677
4,JB8JCw3xCfmjzeV6pWRU59qWMMLKKnDkVXpBcbwvTeSa,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.100000193
5,AGk9yXNMDqwBS8BqY2MnTh1qgZrdqGnKS1XjQt3iEywb,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,2.2e-08
6,AGk9yXNMDqwBS8BqY2MnTh1qgZrdqGnKS1XjQt3iEywb,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.276731
7,76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2302.315076
8,76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.52e-07
9,76khRZQb9oxHUuxycsS9p3r5KEMJKZqTKX1j2qgJBWvR,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,2.05e-07
10,7a74o8iDePeCVFcTQVAyqU4N7sVuxRYeNia7yKHR55E9,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.086329746
11,7a74o8iDePeCVFcTQVAyqU4N7sVuxRYeNia7yKHR55E9,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.073971
12,CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,102.112411773
13,CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4.757676
14,CsHWFwjnxNG4awjUgqZTMw6LAmdkZ4fZqiBAad39N14W,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.95e-07
15,2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.108313236
16,2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,30.029611676
17,2NZ3JTviyPSAqsrqMCYqndkVs7yAdvMd5WLeBWDVZZWZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1068.879029
18,BfL5Nf8UqhEC4KRnyvfKGER1SY1gDwFXPy47yHfLXLvj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,79.720799
19,BfL5Nf8UqhEC4KRnyvfKGER1SY1gDwFXPy47yHfLXLvj,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,9.4e-08
20,ayu3ersiGcqopJ5sW4tWGLCAuYoHpLSoxjdBHFiZtaj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.584858
21,CNNCcftAbfLZ4v6yDfgqZGUc1ijMDkJmrPuwFoVE8hde,CQyosTu6pHVFLSJ4fxttN3qxyyE2C7qkP7jTA3bQCd49,3.0
22,CNNCcftAbfLZ4v6yDfgqZGUc1ijMDkJmrPuwFoVE8hde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,84.811518
23,CNNCcftAbfLZ4v6yDfgqZGUc1ijMDkJmrPuwFoVE8hde,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,5.1e-08
24,y6LMBJnFHM2XmP8s3qZGsNq1Dzviw2WZaPN5KrZsGkZ,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,4.3e-08
25,y6LMBJnFHM2XmP8s3qZGsNq1Dzviw2WZaPN5KrZsGkZ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,179.035569
26,9r4u1oefKHAy5fMWDnD2WXKhhzGEb1qgBbsRRAfH8qEa,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,11.000000044
27,9r4u1oefKHAy5fMWDnD2WXKhhzGEb1qgBbsRRAfH8qEa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6.257301
28,5oUg1icZeNQoxyqtCYCqrKBu6rtKSxTqqpkoSiBq1SEN,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.154175
29,5oUg1icZeNQoxyqtCYCqrKBu6rtKSxTqqpkoSiBq1SEN,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.305954957
30,CgFs3HTspY5w9LSJLz1qovbn5Ko8mH4pbQ3mDiNV4GT7,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.968354
31,CgFs3HTspY5w9LSJLz1qovbn5Ko8mH4pbQ3mDiNV4GT7,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.47e-07
32,5YurYTYswTqqpASAdgu5UHYTRnk2u8HNo1MrJ6QoV1cb,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.605596841
33,5YurYTYswTqqpASAdgu5UHYTRnk2u8HNo1MrJ6QoV1cb,7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx,0.214526637
34,5YurYTYswTqqpASAdgu5UHYTRnk2u8HNo1MrJ6QoV1cb,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.80439
35,EMG7ijo2XV6XE9XKDcK1vmSziWC8EfqSMGapvMutXbyw,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,1.04e-07
36,EMG7ijo2XV6XE9XKDcK1vmSziWC8EfqSMGapvMutXbyw,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2553.19912
37,4xmZHhXRknzgEegqioiGohW3xS2XLtKo8CJo3NukfdcF,AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0.008905503
38,4xmZHhXRknzgEegqioiGohW3xS2XLtKo8CJo3NukfdcF,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3.885733
39,7L2NikNiXR2gChiTcZFU4tywYnpzTupZ5bAxzFeheawp,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.422078
