signer,blockTime,sig,swapToToken,swapFromToken,swapToTokenAmount,swapFromTokenAmount
BMxxwAcY3XDuADNxcVpvB2YmavWR9BLnwbjJMfWtr198,1650299102,2xkagsvty9UWMKQit9raBDm6abTb1rpnoQWB3GcK1SyvD9jUYbJzEDo32Sn5zhkJU9zoqFfC7P3FxpPahznXeAp,USDC,GST,46.30968,10.4999999
3RJPctnPPbQLjbVuTjgYsKPgKN5Jg6zbz7Hn4gYuq3sj,1650329117,2g57rKAFJEwk9rwHLSLdDFuYySsSk1onvveE7T6CZThQZdFKDnemqKRQfpp5zy9shZnTXEU1UDCDt1Q1cRdtffxY,USDC,GST,0.206102,39.99999998
2VQb9ZrmQDGjBPnTr7Azr3zQAdQTjJLXKquYhD5Emoja,1650300474,5KECejbC33gqYY9imCNzvJJMawqLVZZSMH27bAKbf1p1HJmdvtXjpDnTHCWt4wfmyFZW2bTAJgj3r1PNeWdpe6Fx,GMT,GST,15.40526264,9.999999816
2HKf38mtpS5cF3nqzzfbeFw7MAn5CjGBTXnzo3jjcQDf,1650336002,5wDp8vFcbqeBpSCJPh9vdFSooNLLtwUy3YyLP5p9fDHymHrvyhqEtnkdHeWyuWFpBGkSfd1nrUVJW8AyeFxzpygE,GMT,USDC,30.36152733,100
HvCkhnBCNGkX7KgSBNSC2cS4PUSZahqEzKPnHdHZvR9v,1650295490,2WXhoAbHPtx3387RVBsnerWZtZD3nn1Ufo7SoZB4qrDG7qLKWXknJmrskz4LqzxSJpQEX5X9mp4ApTFnFiFFwfnq,SAO,USDC,1045.572346,0
HDWhZhX7ozeisc2PDmMbv1o4aab8eyfKuv4AHp8o4ow6,1650343647,o4syfnkRHTyMbvCHGy2SdQECD17i27ZzyiiLkAnqQqhfJrF4ZMuG6ca1QGiYNHMfAhSDbCKyR1wt4VMEmUnEwKc,USDC,GST,62.911833,13.97999988
8Fokuq2RHMhjerNpcv5WhuPfme3ZCqE8uLed73dp8bZK,1650337378,4iL53pn3ceWXP1bp92QYNKMDPdQCwGGHJJ6Bjoh9fRcCWTtfPaKNYYQ7z3XnqC8FEUExzpB1eHkMUiFAJGB87S8A,GMT,GST,26.83381892,19.99999986
8DWonZCr8vWUfHC2mzj32YmwstgrPP1sxja7bE6nbADW,1650330918,47i4AuYentSYyNoUjsWyujp6drc5jFXo93sxSqb5iP6X42Q3cML65qwPni9vFfeM7NshD5Ztu1oXxbNXk4rMcXrS,USDC,GST,44.097165,9.99999991
CBqRWs6GF8gdDzAfDTqyA2EsF8SMqmk5orrLdJBgG5dj,1650304416,2cf2AHbnq66UpdMmExFptAAFDv9ZRbqr2BN1uxu3EbcopT5WxcKoqixMhM41zmHwjRJSdRafqbd5oynWbKBS7U5N,GMT,USDC,10.2999999,30
FqiHRauAveQ86dVCb8jtuAxmAkvhJCmaWetvznyjk3hV,1650337416,5W2YEc4wdm7cUnxVsJjGuvf784GgfeRvhR9M1Wv9dXnTJJNYGzT3qYfCDdwJJruNaobWQaG7NptCVfv91omDGNTY,USDC,GST,4.399385,0.999999941
FE5wEd2EPDP7QWi6qnMsajKWkyVreqWyiuJAJi6yyVVy,1650298697,46CohHrMkzvJUoLzQGaHaDLAUx8CtALP3gcBDtkiNdQsfauzuXX9yRsw4mA67XuU5BiPfcunZHxMq87SBNhGFdRj,GMT,GST,11.08716597,6.999999931
zVHmAyDayBH6vdorS54AiU8z5S4eVAESdW4yDsFJcGG,1650302330,PFHFteFYbgWAS2K8vWtSghijcJp1REQGhQuy9gjAXDdEJzAaoYD8dDWxNroD2uCgbLHEoPqVEopE7yDxc8rHhhi,GMT,USDC,1268.160715,3727.763401
FnJZCfHc6LuZKCWMJGsHmpmqPeVVpxiJR3upiFp8TWsG,1650341796,6GjmAqquWpHPPY2Uf47Q4Quqijpf1jZHKZvuganoMoGomUjTzKzY9Pic7JvaE4p7yXxNySTpW6xcqpdsZfby5g7,CASH,USDC,39.235643,0
8Lp8UHXKGqomSQFiF9V48o7ZrWUFc9F2RGPx3eTN2oWf,1650339830,2PMrjqV576vbA4oMcSSy2VxMSyKGFci8m8VRsM2r8ZbUWGcsRqGjrCYY7NSYAbbR7S5nCTFSTBDw7TNFRnMgN2VJ,USDC,SAMO,26.305303,1427.276416
3ju3zi3nZTvqyXqqgYAQbDm98KfHh83Y7PKvvNoerRp8,1650343867,3CZdzor5wRP7HEKkGpVsRwgek3y9sCH7J66RRoZrWeVLn3XAEaubghwYHw1j5Q6MveE9oDskvkZHpHKSbJEQH2t7,GMT,GST,13.56532562,9.999999826
Gjdu5rBoCdQVK9mTZAPuq9Yw5s6GYCQ3M8EKutaE5Cb1,1650297884,54J1SpxE1gYg9J8CZBu7mq3qAajcALXfGe85sFCDQcjvfrts3qvxJJpcsHy7cdyVXyf8V3t7j1u9VhbTDcSxKL4H,USDC,GST,3401.174211,780.37
AXvu5f1w5pbTbckMHLaXG6QVWU2wLBhB3rcnwuVGhLa4,1650327129,4KYsDRebh6p6UwDWgDAYhRCTQxjkY7Hkm26i5HjZxuGaTcWEBSBAZcnPzBVDQiBVHauxyXAEjLc88L96g8ZtCb1T,USDC,GST,0.053007,14.99999995
828Qzn1gr7g8XQtmcrjN7JrVd92c4cSmy2AEYTABgAhy,1650341625,3fP143M7K7bk68TXCK7jKhx6WAt3rs45iXZ8zvG53jgm4E2qoSTMsfsHa9gHF5yQmxcaH9DPoYbQmBfaSvEFxqE6,GMT,USDC,10.29328185,34
ATC8RxfUpzxcP4cVgS65uSQEgASJJVZeva2bj8KVCWae,1650299061,4hLRxZiHBdYWNo2ynY8MkqR1Dxuyu9dHuNvhVXLCrchJ6WdpqqfgbrKm8jKLqEs6fegES2y4hb8MEWAQMCJn7RM5,USDC,GST,3028.848281,686.9999999
83t51NUCZMnXmZXc42yoenoFsJgmagEZsum4kgxJpH57,1650295589,465BiGxYqPQHFuZgmiDNT7XbMz8oZTaYdfaYR7Ha8tmkepGS6jDDPZ3HsyLsm1qorohKkWxDxpAg7SGfp8ozT2Z2,GMT,USDC,10.07948065,0
FtAe8PJG8MZtPRAPckr9e3B74ngX5ckQz5oD6AC7o5HB,1650299030,4G6op6BbbWbYZV6QA2dVLRtszWQAPDd5WQHwp4KMHm6Td2Ti379hS4HsLjyiznpQ6QFdL1XBb8iMVY2qVQmTkGi7,stSOL,UST,2.00045954,201.779249
6rZAnfEDJnik2yYpRnUbQpRtZUqwiUMPiRsa4cxwdBEK,1650300139,4k9Nr7hzR5Rd8zGXjfkWgCvcB5okJuuKqQ2uqDT1LeQ85KU8ezfYwYxKFAGwqVLtrF4rncoyDJucvEfYZUBWbiKM,USDC,ORCA,127.353495,70
