address,symbol,name,price_usdt
9LzCMqDgTKYz9Drzqnpgee3SGa89up3a247ypMj2xrqM,AUDIO,Audius (Portal),1.17
ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,ATLAS,Star Atlas,0.02313883
MMAx26JtJgSWv6yH48nEHCGZcVvRbf9Lt9ALa7jSipe,MMA,mma,0
StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,STEP,Step,0.110789
SuperbZyz7TsSdSoFAZ6RYHfAWe9NmjXBLVQpS8hqdx,SB,SuperBonds Token,0
GENEtH5amGSi8kHAtQoezp1XEXwZJ8vcuePYnXdKrMYz,GENE,Genopets,14.57
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,ORCA,Orca,1.93
xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,SLIM,Solanium,0.329456
ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,wstETH,Lido Wrapped Staked ETH,0
9EaLkQrbjmbbuZG9Wdpo8qfNUEjHATJFSycEmw6f1rGX,pSOL,pSOL (Parrot SOL),0
EwJN2GqUGXXzYmoAciwuABtorHczTA5LqbukKXV1viH7,UPS,UPS token (UPFI Network),0
Lrxqnh6ZHKbGy3dcrCED43nsoLkM1LTzU2jRfWe8qUC,LARIX,Larix,0.00303687
HBB111SCo9jkCejsZfz8Ec8nH7T6THF8KEKSnvwT6XK6,HBB,Hubble Protocol Token,1.75
a11bdAAuV8iB2fu7X6AxAvDTo1QZ8FXB3kk5eecdasp,ABR,Allbridge,2.04
PoRTjZMPXb9T7dyU7tpLEZRQj7e6ssfAE62j2oQuc6y,PORT,Port Finance Token,0.551052
2Kc38rfQ49DFaKHQaWbijkE7fcymUMLY5guUiUsDmFfn,KURO,Kurobi,0.01258088
2HeykdKjzHKGm2LKHw8pDYwjKPiFEoXAz74dirhUgQvq,SAO,Sator,0.04383035
z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,OXY,Oxygen Protocol,0.241804
EsPKhGTMf3bGoy4Qm7pCv3UCcWqAmbC1UGHBTDxRjjD4,FTM,FTM (Allbridge from Fantom),1.11
H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,OOGI,OOGI,6.337e-05
GEJpt3Wjmr628FqXxTgxMce1pLntcPV4uFi8ksxMyPQh,daoSOL,daoSOL Token,0
TuLipcqtGVXP9XR62wM8WWCm6a9vhLs7T1uoWBk6FDs,TULIP,Tulip,11.67
sonarX4VtVkQemriJeLm6CKeW3GDMyiBnnAEMw1MRAE,SONAR,Sonar Watch,0.0368985
F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,LUNA,LUNA (Portal),93.42
7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,SAMO,Samoyed Coin,0.01874825
4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj,LIQ,LIQ Protocol,0.02614194
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,mSOL,Marinade staked SOL (mSOL),106
BygDd5LURoqztD3xETc99WCxLUbTi6WYSht9XiBgZ4HW,WMP,Whalemap,0.02343956
iVNcrNE9BRZBC9Aqf753iZiZfbszeAVUoikgT9yvr2a,IVN,Investin Protocol,0.628506
